Fecha;Hora;Temperatura (ºC);pH;Turbiedad (NTU);"DQO 
(mg O2/L)"
07/10/2021;8:50;33;7.65;17.4;162
08/10/2021;9:00;30.9;7.72;8.23;143
11/10/2021;8:30;31.7;7.5;13.19;135
12/10/2021;9:00;32.9;7.5;5.37;91
13/10/2021;9:30;32.8;7.7;3.52;96
14/10/2021;9:30;33.8;7.7;8.39;112
15/10/2021;9.00;32.9;7.68;9.75;118
19/10/2021;9:00;30.8;7.7;9.69;105
20/10/2021;9:30;30.5;7.8;7.58;102
21/10/2021;9:20;31.2;7.6;9;100
22/10/2021;8:50;34.8;7.82;6.58;106
25/10/2021;9:30;32.6;7.6;4.49;90
26/10/2021;9:30;34.8;7.7;3.11;92
27/10/2021;10:00;36;7.6;5.26;88
28/10/2021;9:00;35.4;7.7;4.64;115
29/10/2021;8:50;34.9;7.75;6.35;106
01/11/2021;9:20;34.8;7.64;8.73;119
02/11/2021;9:20;34;7.23;6.61;118
03/11/2021;9:00;35.2;7.5;11.95;125
04/11/2021;9:30;36;7.43;8.36;121
05/11/2021;9:20;34.1;7.37;25.4;159
08/11/2021;8:40;31.8;7.6;7.19;107
09/11/2021;9:20;32.4;7.49;16.99;127
10/11/2021;9:10;32.4;7.48;10.7;114
11/11/2021;9:30;31.6;7.36;30.7;123
12/11/2021;9:30;30.8;7.25;8.2;157
15/11/2021;9:00;31.5;7.4;6.31;98
16/11/2021;9:10;32;7.2;7.16;105
17/11/2021;9:00;31.1;7.42;8.13;150
18/11/2021;9:00;31.4;7.4;7.08;127
19/11/2021;9:10;31.8;7.25;10.71;123
22/11/2021;9:10;33.5;7.4;5.65;112
23/11/2021;9:20;32;7.23;3.8;96
24/11/2021;9:00;31.8;7.25;4.21;93
25/11/2021;9:00;31.6;7.19;5.13;91
26/11/2021;9:10;30.3;7;4.88;105
30/11/2021;;30.1;7.13;4.62;103
02/12/2021;;29.9;6.99;6.58;309
06/12/2021;9:00;31.7;7;7.37;96
07/12/2021;9:00;30.8;7.19;4.99;115
08/12/2021;9:30;29.4;7.15;5.8;90
09/12/2021;9:00;28;7.17;4.15;84
10/12/2021;9:40;29.2;7;3.15;93
13/12/2021;8:50;31.6;7.1;4.45;67
14/12/2021;9:00;30.6;7.17;3.36;67
15/12/2021;9:00;31.1;7.08;3.35;233
16/12/2021;9:10;31.3;6.9;2.63;78
17/12/2021;12:30;32.7;7.13;2.46;71
20/12/2021;9:00;33.2;6.9;3.23;102
21/12/2021;9:20;32.5;7;4.28;75
22/12/2021;9:40;33;7;2.92;108
23/12/2021;9:00;33.4;7;2.48;112
28/12/2021;8:30;31.3;6.95;3.95;286
29/12/2021;8:30;31.6;7.09;3.83;146
30/12/2021;8:30;32.4;7.09;10.64;406
31/12/2021;8:30;33.5;6.66;6.83;212
04/01/2022;8:30;34.9;6.91;9.31;179
06/01/2022;8:30;31.5;6.97;6.71;133
10/01/2022;9:30;31.7;7.04;5.19;105
11/01/2022;10:00;33.5;7.05;4.52;188
12/01/2022;9:30;33;6.98;4.5;106
