Fecha;Hora;"DQO 
(mg O2/L)"
16/04/2024;8:50;
17/04/2024;8:50;
18/04/2024;9:20;
19/04/2024;9:00;
22/04/2024;9:00;
23/04/2024;8:50;
24/04/2024;8:45;
25/04/2024;8:50;
26/04/2024;9:00;
29/04/2024;9:10;
30/04/2024;8:45;
02/05/2024;8:45;
03/05/2024;8:45;
06/05/2024;9:00;
07/05/2024;8:45;
08/05/2024;8:50;
09/05/2024;8:45;
10/05/2024;8:50;
13/05/2024;9:00;
14/05/2024;9:35;
15/05/2024;8:50;
16/05/2024;9:30;
17/05/2024;9:30;
20/05/2024;8:50;
21/05/2024;8:45;
22/05/2024;9:00;
23/05/2024;9:00;
24/05/2024;8:50;
27/05/2024;9:00;
28/05/2024;8:40;
29/05/2024;12:20;
30/05/2024;12:34;
31/05/2024;12:12;
03/06/2024;8:50;
04/06/2024;8:45;
05/06/2024;8:45;
06/06/2024;8:45;
07/06/2024;10:50;
10/06/2024;8:50;
11/06/2024;8:50;
12/06/2024;9:13;
13/06/2024;8:50;
14/06/2024;8:50;
17/06/2024;9:00;
19/06/2024;8:45;
20/06/2024;9:00;
21/06/2024;9:00;
24/06/2024;9:00;
25/06/2024;8:45;
26/06/2024;8:50;
27/06/2024;8:45;
28/06/2024;8:45;
01/07/2024;8:55;
02/07/2024;8:50;
03/07/2024;8:45;
04/07/2024;8:55;
05/07/2024;8:50;
08/07/2024;9:00;
09/07/2024;8:45;
10/07/2024;9:00;
11/07/2024;8:50;
12/07/2024;8:45;
15/07/2024;9:00;
16/07/2024;8:50;
17/07/2024;11:00;
19/07/2024;8:44;
22/07/2024;9:00;
23/07/2024;8:50;
24/07/2024;9:15;
25/07/2024;9:00;
26/07/2024;8:50;
29/07/2024;9:10;
30/07/2024;9:00;
31/07/2024;8:55;
01/08/2024;8:45;
02/08/2024;10:00;
05/08/2024;9:20;
06/08/2024;9:40;
07/08/2024;8:45;
08/08/2024;9:00;
09/08/2024;9:00;
12/08/2024;8:55;
13/08/2024;8:55;
14/08/2024;8:50;
15/08/2024;8:40;
16/08/2024;10:00;
19/08/2024;8:45;
20/08/2024;8:45;
21/08/2024;9:15;
22/08/2024;8:40;
23/08/2024;9:10;
26/08/2024;8:45;
27/08/2024;9:00;
28/08/2024;9:00;
29/08/2024;9:10;
30/08/2024;9:15;
02/09/2024;9:15;
03/09/2024;8:40;
04/09/2024;8:50;
05/09/2024;9:00;
06/09/2024;8:40;
09/09/2024;9:20;
10/09/2024;9:25;
11/09/2024;8:45;
12/09/2024;9:00;
13/09/2024;9:50;
16/09/2024;9:45;
17/09/2024;8:55;
18/09/2024;8:50;
19/09/2024;8:50;
20/09/2024;9:30;
23/09/2024;9:15;
24/09/2024;9:05;
25/09/2024;9:00;
26/09/2024;8:30;
27/09/2024;9:10;
30/09/2024;9:15;
01/10/2024;9:30;
02/10/2024;9:00;
03/10/2024;8:45;
04/10/2024;9:10;
07/10/2024;9:00;
08/10/2024;8:45;
09/10/2024;9:20;
10/10/2024;9:00;
11/10/2024;8:00;
14/10/2024;9:05;
15/10/2024;8:40;
16/10/2024;8:45;
17/10/2024;8:30;
18/10/2024;8:50;
22/10/2024;9:00;
23/10/2024;8:55;
24/10/2024;10:20;
25/10/2024;9:00;
28/10/2024;8:40;
29/10/2024;8:45;
30/10/2024;9:45;
31/10/2024;8:30;
01/11/2024;9:20;
